자치구,카페수,면적_km2,면적대비_카페밀집도
강남구,1487,39.5,37.64556962025316
서초구,972,46.98,20.689655172413794
중구,904,9.96,90.76305220883533
강서구,888,41.45,21.423401688781663
송파구,852,33.87,25.155004428697964
마포구,842,23.85,35.30398322851153
영등포구,758,24.55,30.875763747454176
종로구,734,23.91,30.69845253032204
강동구,563,24.59,22.895485969906467
관악구,548,29.57,18.532296246195468
광진구,524,17.06,30.715123094958972
성북구,511,24.58,20.78925956061839
노원구,509,35.44,14.362302483069978
용산구,500,21.87,22.862368541380885
금천구,452,13.02,34.715821812596005
구로구,450,20.12,22.365805168986082
서대문구,448,17.63,25.411230856494612
성동구,430,16.86,25.50415183867141
동작구,418,16.35,25.565749235474005
동대문구,391,14.22,27.49648382559775
양천구,379,17.41,21.76909821941413
은평구,349,29.71,11.746886570178392
중랑구,321,18.5,17.35135135135135
도봉구,241,20.65,11.670702179176756
강북구,215,23.6,9.110169491525424
